context_len,tp2_bf16,tp2_int8,dp2_bf16,dp2_int8
4096,5612.00786525576,5558.790797550138,7297.919219825492,
8192,5599.8992660712875,5513.117287801624,7317.01610131303,
16384,5571.888164072739,5532.760114676311,7295.844529205157,
32768,5370.6599232978,5403.462283792457,7181.556047929442,7435.344649969725
65536,5215.686264685907,5107.574134828801,,7544.519740028207
131072,4741.183922771058,4710.695830049833,,7254.353256295066
